,FemaleNonSaudi,MaleNonSaudi,FemaleSaudi,MaleSaudi,neighborhoods
0,5106,9369,11245,12313,al muruj
1,8176,10513,15195,17643,al masif
2,2744,3335,7809,7625,at taawn
3,3600,5596,9286,9817,al izdihar
4,6061,10177,12367,14562,king fahd
5,3297,5449,6516,7797,al mursalat
6,3822,5359,8850,10722,an nuzhah
7,1502,1770,5639,4766,al mughrizat
8,7320,8834,7893,8898,al wurud
9,2335,3828,2502,2949,salah ad din
10,2450,2719,5012,5592,al wahah
11,812,1290,1645,1406,king abdullah
12,21832,24261,21005,30553,al ulaya
13,24828,32843,10183,10272,as sulimaniyah
14,2581,3822,3074,5315,king abdul aziz
15,15924,37457,9427,13865,al wazarat
16,4905,9855,3049,3421,adh dhubbat
17,2543,8877,2234,3455,az zahra
18,8640,10733,17337,18524,ar rabwah
19,10360,16618,4616,6372,al murabba
20,18559,28700,11010,12292,al malaz
21,5976,11773,5892,7016,jarir
22,1285,1960,2710,3791,as safa
23,3413,12133,772,1126,al futah
24,6074,12666,1848,3356,al amal
25,5420,19512,1842,2980,thulaim
26,561,6080,806,1258,as sinaiyah
27,830,1537,1245,2258,al faruq
28,4825,20748,1725,1777,ad dirah
29,4074,25324,1689,3102,al marqab
30,130,528,281,355,as salam
31,1418,3351,315,388,ad dubiyah
32,913,2311,425,475,al mikal
33,1021,2360,1106,1814,al wusayta
34,140,65,1109,1590,al qura
35,3636,5771,528,764,jabrah
36,953,1379,444,763,al batha
37,8305,22363,7349,8075,al ud
38,2268,9235,3948,5083,as salhiyah
39,5458,12014,8680,10133,utaiqah
40,19523,39770,10821,12781,manfuhah al jadidah
41,15211,22989,6980,7635,ghubairah
42,12142,24609,7791,10463,al khalidiyah
43,1272,8150,6456,7088,al faisaliyah
44,12212,18364,12235,15026,al yamamah
45,10414,32931,8385,11638,manfuhah
46,13206,15469,14928,15615,al mansurah
47,796,939,892,1177,as safarat
48,1054,1391,1892,2764,al hada
49,8283,12639,10907,12796,umm al hamam ash sharqi
50,4361,9208,1276,1653,al madhar
51,1255,1253,1434,1171,al mutamarat
52,3931,6413,3697,5164,ash sharafiyah
53,2341,1801,1523,1453,ar rafiah
54,1617,3214,1346,1843,an nasriyah
55,1867,2833,3622,4307,an namudhajiyah
56,2113,2389,2739,3427,al fakhriyah
57,5268,7184,1848,3533,al wisham
58,2655,5469,4218,5603,ilaishah
59,7485,20354,3419,3923,umm salim
60,7170,13018,8451,9329,al badiah
61,6688,7649,8733,8544,al jaradiyah
62,8027,26093,6580,6992,ash shimaisi
63,730,1429,612,708,siyah
64,3744,4575,5627,6460,an nakhil
65,1414,5307,4453,6064,king saud university
66,2834,2996,8538,9533,al muhammadiyah
67,1838,3003,3438,4686,ar raid
68,1939,2405,4284,4721,ar rahmaniyah
69,11757,19688,12183,13243,umm al hamam al gharbi
70,2586,3856,5044,5853,al madhar ash shamali
71,79,4234,1010,1211,al qirawan
72,984,9087,3452,4332,al malqa
73,1814,3895,3188,3389,hittin
74,3499,5725,11105,11715,al aqiq
75,18,3109,278,154,al arid
76,124,1676,490,192,an narjis
77,1029,3222,2926,2973,al yasmin
78,3198,4488,8099,7963,as sahafah
79,2049,2588,4701,4924,ar rabi
80,1602,3882,679,430,an nada
81,665,4775,1752,3327,al imam university
82,2416,2843,4834,4772,al ghadir
83,2833,4363,6637,6092,an nafl
84,3285,4730,8709,9012,al wadi
85,1863,3138,5399,5567,al falah
86,626,15374,1010,1506,ar rimal
87,2709,5180,7758,7055,qurtubah
88,385,5813,4658,3950,al munsiyah
89,2861,5377,7779,6504,ghirnatah
90,3222,8771,15672,13160,al yarmuk
91,205,4698,3272,2923,al qadisiyah
92,2650,13006,8791,9658,al janadriyah
93,3667,5880,13778,12173,al hamra
94,5912,7994,16026,15824,ishbiliyah
95,3653,4415,17097,17091,al quds
96,7098,11778,23629,23401,king faisal
97,7402,13458,36403,33584,al khalij
98,364,3199,5035,9593,al maizilah
99,11952,16659,25350,28253,ar rawdah
100,5036,5943,11988,12501,al andalus
101,8021,14456,32520,33755,an nahdah
102,4695,5385,12510,13771,ar rayan
103,2806,4312,8581,9860,al manar
104,19093,35608,59392,61884,an nasim al gharbi
105,7917,25686,48513,54288,an nasim ash sharqi
106,2299,3791,5124,6621,ar rimayah
107,4378,11466,35836,38944,an nazim
108,7539,8899,21588,19092,ar rawabi
109,4399,6068,21789,22274,as salam
110,3555,4920,18023,20772,al jazirah
111,4349,9440,18511,14769,al faiha
112,3467,24163,16635,15354,as saadah
113,303,27924,6750,8832,as sulai
114,470,9667,3101,3538,al manakh
115,19,8723,280,472,an nur
116,198,2009,3215,3360,ad difa
117,2100,2218,16307,19704,al iskan
118,446,48289,1158,2686,new industrial area
119,13973,29301,29835,28210,al aziziyah
120,2872,9301,16826,17022,ad dar al baida
121,152,3514,553,211,mansuriyah
122,77,2663,267,348,taibah
123,46,2404,1526,2409,al misfat
124,5834,6045,31915,37667,ash shifa
125,272,11658,803,780,al masani
126,1167,4501,7507,6415,al marwah
127,6095,19372,33127,31305,badr
128,459,677,2577,1955,uqaz
129,94,277,1620,3203,uhud
130,7,734,252,448,areed
131,5351,9936,59535,60204,al uraija al gharbiyah
132,4465,7420,29221,31158,al uraija al wusta
133,1236,3329,2807,3782,al uraija
134,5058,5982,22491,24998,dhahrat al badiah
135,2881,3225,22632,22708,as suwaidi al gharbi
136,3821,7376,24473,25918,az zahrah
137,5522,6859,23804,29057,as suwaidi
138,3431,7127,10337,10069,sultanah
139,4195,3835,20106,21936,shubra
140,1017,1508,2853,2904,ad duraihimiyah
141,3523,11752,62684,65533,tuwaiq
142,126,2529,1207,1701,dhahrat namar
143,740,1440,12227,12599,dirab
144,768,2538,5954,5905,al hazm
145,1373,1994,5724,6443,namar
146,1747,2073,3400,3733,al khuzama
147,1163,6077,11142,15553,dhahrat laban
148,1005,41887,3530,3367,king khalid airport
149,1794,2866,29863,38313,khashm al an
150,5382,9292,864,1100,skirinah
151,1170,1861,3609,3476,laban
152,275,528,7805,9947,dahiat namar
153,2,1966,144,185,ash sharq
155,17,191,902,1159,al mahdiyah
156,2441,3781,6419,6411,al shohada
157,353,1106,163,152,al dho
160,245,1019,2532,2554,al bariah
161,72,8151,187,294,al mishal
